,岗位名称,公司名称,城市,地点,薪资,基本要求,公司状况,岗位技能,公司福利
0,数据分析师,名片全能王,上海,[静安区],10k-20k,10k-20k 经验1-3年 / 本科,移动互联网 / D轮及以上 / 150-500人,大数据 移动互联网 Hive Hadoop Spark,“免费早晚餐、扁平化管理、免费零食供应”
1,数据分析师,奇虎360金融,上海,[张江],10k-20k,10k-20k 经验不限 / 本科,金融 / 上市公司 / 500-2000人,SQL 数据库,“发展范围广 薪资高 福利好”
2,数据分析,51JOB,上海,[浦东新区],8k-15k,8k-15k 经验1-3年 / 本科,"移动互联网,企业服务 / 上市公司 / 2000人以上",SPSS 数据运营 数据库,“五险一金 周末双休 年终福利”
3,2521BK-数据分析师,陆金所,上海,[浦东新区],13k-26k,13k-26k 经验1-3年 / 本科,金融 / B轮 / 2000人以上,大数据 金融 MySQL Oracle 算法,"“五险一金,节日福利,带薪年假”"
4,数据分析师,天天拍车,上海,[虹桥],10k-15k,10k-15k 经验1-3年 / 大专,"移动互联网,电商 / D轮及以上 / 2000人以上",数据分析 数据库,“五险一金，带薪年假，做五休二”
5,数据分析-机构资金项目,拍拍贷,上海,[浦东新区],15k-30k,15k-30k 经验3-5年 / 本科,金融 / 上市公司 / 2000人以上,分析师,“上市公司”
6,数据分析师,任拓数据科技（上海）有限公司,上海,[南京东路],8k-12k,8k-12k 经验1-3年 / 本科,"电商,数据服务 / 不需要融资 / 150-500人",电商 大数据 数据分析 SQL 数据库,“发展前景好、福利优、领导Nice”
7,数据分析师（数据银行）,上海鲲驰贸易发展有限公司,上海,[浦东新区],15k-25k,15k-25k 经验3-5年 / 本科,电商 / 未融资 / 500-2000人,电商,"“发展空间大,工作氛围好,团队大牛多”"
8,数据分析师,上海小牛互娱智能科技有限公司,上海,[张江],18k-30k,18k-30k 经验5-10年 / 本科,移动互联网 / 未融资 / 500-2000人,商业 数据分析,“年底双薪 住房补贴”
9,数据分析,趣头条,上海,[浦东新区],20k-40k,20k-40k 经验不限 / 本科,文娱丨内容 / 上市公司 / 500-2000人,专项奖金 带薪年假 弹性工作 管理规范,“数据分析”
10,数据分析师,途虎养车网,上海,[闵行区],20k-40k,20k-40k 经验不限 / 本科,汽车丨出行 / D轮及以上 / 2000人以上,BI 商业 SQL,“发展前景”
11,数据分析经理,联众金融,上海,[陆家嘴],20k-30k,20k-30k 经验5-10年 / 本科,金融 / B轮 / 500-2000人,数据分析,“薪资福利好 90后”
12,资深数据分析,还呗-智能信贷领先者,上海,[张江],25k-35k,25k-35k 经验5-10年 / 本科,金融 / B轮 / 500-2000人,目标管理 KPI考核 决策能力 战略管理,“补充公积金 大牛多 弹性不打卡”
13,高级数据分析师,宜家,上海,[田林],1k-2k,1k-2k 经验5-10年 / 本科,消费生活 / 不需要融资 / 2000人以上,数据分析 可视化 SQL,“员工餐厅 企业年金 超长年假 外企福利”
14,数据分析师(电商),联蔚数据,上海,[黄浦区],10k-20k,10k-20k 经验1-3年 / 本科,数据服务 / 不需要融资 / 150-500人,电商 企业服务 商业 数据分析,“工作氛围轻松、高大上，美女如云，大牛多。”
15,2521DF-数据分析岗,陆金所,上海,[浦东新区],13k-20k,13k-20k 经验1-3年 / 本科,金融 / B轮 / 2000人以上,大数据 金融 数据分析,"“五险一金,带薪年假,节日福利,定期体检”"
16,资深数据分析师,嗨课堂,上海,[江湾],20k-40k,20k-40k 经验5-10年 / 本科,教育 / B轮 / 2000人以上,数据分析,“高于市场的基本薪资和年终奖金；工作环境佳”
17,数据分析实习生,HARB,上海,[徐汇区],3k-4k,3k-4k 经验应届毕业生 / 本科,企业服务 / B轮 / 50-150人,新零售 大数据 商业,“外资高管团队；公司文化好；已获多轮融资”
18,E011 数据分析师,四季沐歌集团,上海,[徐家汇],20k-30k,20k-30k 经验3-5年 / 本科,其他 / 上市公司 / 500-2000人,广告营销 移动互联网 数据分析 数据挖掘,“平台大 福利优”
19,资深数据分析师,Alten China,上海,[漕宝路],20k-30k,20k-30k 经验5-10年 / 本科,硬件 / 上市公司 / 2000人以上,MySQL,“年终奖 五险一金 平台”
20,数据分析经理,阳祥实业,上海,[吴淞],20k-30k,20k-30k 经验3-5年 / 本科,"电商,其他 / 未融资 / 15-50人",大数据 企业服务,“上市公司 做五休二”
